Date        Time   From      To           Seats  Occupied
2019-01-20  02:32  Kiev      Prague       99      99
2019-01-25  03:05  Kiev      Hurgada      99      99
2019-01-25  12:20  Kiev      Berlin       90      99
2019-01-26  12:45  Kiev      London       70      70
2019-01-26  23:15  Berlin    Madrid      100     100
2019-01-28  00:30  Kiev      Rome        100     100
2019-01-28  05:30  Kiev      Rome        100     100
2019-01-28  10:30  Kiev      Rome        100     100
2019-01-28  01:05  Kiev      Vilnuse     100     100
2019-01-28  09:20  Kiev      Dublin       90      90
2019-01-28  11:15  Kiev      Oslo         70      70
2019-01-28  12:15  Berlin    Madrid      100     100
2019-01-28  13:32  Kiev      Barselona   100     100
2019-01-28  14:05  Kiev      Neapol      100     100
2019-01-28  14:20  Kiev      New-York     90      90
2019-01-29  14:15  New-York  Dallas       70      70
2019-01-29  15:15  Kiev      Washington  100     100
2019-01-29  16:15  Kiev      Oslo         70      70
2019-01-30  17:15  Berlin    Madrid      100     100
2019-01-30  17:32  Kiev      Barselona   100     100
2019-01-30  18:05  Kiev      Neapol      100     100
2019-01-30  18:20  Kiev      New-York     90      90
2019-01-31  19:15  New-York  Dallas       70      70
2019-01-31  20:15  Kiev      Washington  100     100
2019-01-31  21:15  Berlin    Madrid      100     100
2019-01-31  22:32  Kiev      Barselona   100     100
2019-02-01  23:05  Kiev      Neapol      100     100
2019-02-01  23:20  Kiev      New-York     90      90
2019-02-01  23:55  New-York  Dallas       70      70
